wc_id,type,parent_id,sku,meta,status,name
186,simple,"",989803139261,10217,publish,"Philips Heartstart FRX Smart Pads"
188,simple,"",03-DAC-101,91108,publish,"Defibtech softcase for AED training unit (red)"
191,simple,"",100-1640U,10514,publish,"Baby Choking Manikin with Carry Bag"
192,simple,"",100-1620U,10515,publish,"Child Choking Manikin with Carry Bag"
1210,simple,"",8900-0815-01,10230,publish,"ZOLL CPR-D Padz"
1211,simple,"",8900-0801-01,10242,publish,"ZOLL Stat-Padz II"
1212,simple,"",8900-0402,10229,publish,"ZOLL CPR Stat-Padz"
1213,simple,"",8900-000280,10653,publish,"ZOLL AED 3 Uni-Padz"
1214,simple,"",8000-000696,10272,publish,"ZOLL AED 3 Battery"
1215,simple,"",8000-0860-01,10259,publish,"ZOLL AED Pro Battery"
1216,simple,"",8900-0810-01,10231,publish,"ZOLL Pedi-Padz"
1217,simple,"",9131-001,10243,publish,"Cardiac Science Powerheart G3 Electrode"
1219,simple,"",Aivia210,60717,publish,"Aivia 210 outdoor cabinet"
1220,simple,"",M5070A,10265,publish,"Philips heartstart HS1 / FRX Battery"
1221,simple,"",8000-000925,10666,publish,"ZOLL AED Simulator"
1222,simple,"",8900-5007,10668,publish,"ZOLL CPR-D Demo Electrodes"
1223,simple,"",8900-0804-01,10654,publish,"Zoll CPR-D Training Pads"
1224,simple,"",8900-0803-01,10658,publish,"Zoll Replacement Gel Pads for Training CPR-D pads, set of 5"
1225,simple,"",8008-0007,10672,publish,"Zoll AED Plus Trainer 2 Remote control"
1226,simple,"",8000-0375-01,10679,publish,"Zoll AED Plus trainer II carrier case"
1227,simple,"",8900-0805-01,10673,publish,"Stat-Padz II Training Electrodes"
1228,simple,"",8000-0802-01,10675,publish,"Zoll AED Plus carrying case"
1229,simple,"",8000-001250,10659,publish,"ZOLL AED 3 Carry bag"
1230,simple,"",IM13-RED,10529,publish,"Brayden LIGHTS Manikin with LED lighting (RED)"
1231,simple,"",03-DDP-200P,10778,publish,"Defibtech Lifeline and Lifeline Auto Paediatric Electrode Pads"
1232,simple,"",03-DDP-2001,10215,publish,"Defibtech Lifeline View Adult Electrode Pads"
1233,simple,"",10.211,10211,publish,"Heartsine Samaritan PAD-PAK-03 (Adults)"
1234,simple,"",989803139311,10218,publish,"Philips Heartstart FRx Child / Infant Key"
1235,simple,"",M5071A,10219,publish,"Philips Heartstart HS1 Adult Electrode Pads"
1237,simple,"",M5072A,10220,publish,"Philips Heartstart HS1 paediatric electrode pads"
1274,simple,"",M5073A,92019,publish,"Philips Heartstart Adult SMART Training Pad Cartridge"
1275,simple,"",M5093A,M5093A,publish,"Philips Heartstart Home Training Replacement Pads"
1276,simple,"",11141-000100,10258,publish,"Physio-Control Lifepak 1000 Battery"
1277,simple,"",11996-000017,10225,publish,"Physio-Control Lifepak (REDI-PAK) Quick-Combo Adult Electrode Pads"
1278,simple,"",11403-000002,10227,private,"Physio-Control LIFEPAK CR Plus/EXPRESS CHARGE-PAK With 1 Set Electrode Pads"
1279,simple,"",11101-000021,10235,publish,"Physio-Control Lifepak CR2 Electrodes"
1280,simple,"",11101-000016,10234,publish,"Physio-Control Lifepak Paediatric Redipak Electrode pads"
1281,simple,"",97641,10270,publish,"Primedic Heartsave AED 6 Years Battery"
1282,simple,"",190-5020-002,10550,publish,"Cardiac Science Powerheart G5 Trainer"
1284,simple,"",01-DCF-E110SG-NL,10142,publish,"Defibtech Lifeline Semi- Automatic"
1286,simple,"",01-DCF-E2310div,10140,publish,"Defibtech Lifeline View"
